Id,Label,AvgRating
Action,Action,6.066451612903226
Adult,Adult,4.666666666666667
Adventure,Adventure,6.217417417417417
Animation,Animation,6.3925
Biography,Biography,6.931288343558282
Comedy,Comedy,6.2903773584905665
Crime,Crime,6.529003021148036
Documentary,Documentary,7.415517241379311
Drama,Drama,6.6402356902356905
Family,Family,6.332026143790849
Fantasy,Fantasy,6.1900452488687785
Film-Noir,Film-Noir,6.675
History,History,6.918404907975461
Horror,Horror,5.692345679012346
Music,Music,6.630645161290323
Musical,Musical,6.414516129032258
Mystery,Mystery,6.270877192982456
News,News,7.15
Romance,Romance,6.495157384987894
Sci-Fi,Sci-Fi,5.664204545454545
Sport,Sport,6.697435897435897
Thriller,Thriller,6.206847133757962
War,War,6.915060240963856
Western,Western,6.464516129032258
