Source,Target,Weight
adultery,airplane,23
adultery,ambush,8
adultery,anger,22
adultery,apology,30
adultery,arrest,31
adultery,attempted murder,13
adultery,bar,32
adultery,bare chested male,28
adultery,based on novel,47
adultery,based on true story,20
adultery,beach,33
adultery,beating,28
adultery,betrayal,33
adultery,blood,56
adultery,blood splatter,11
adultery,boat,17
adultery,boy,28
adultery,boyfriend girlfriend relationship,32
adultery,brother brother relationship,8
adultery,brother sister relationship,31
adultery,brutality,9
adultery,camera,26
adultery,car,19
adultery,car accident,20
adultery,car crash,17
adultery,cat,11
adultery,cell phone,25
adultery,cemetery,21
adultery,character name in title,16
adultery,chase,27
adultery,church,22
adultery,cigarette smoking,72
adultery,corpse,32
adultery,criminal,11
adultery,crying,49
adultery,cult film,21
adultery,dancer,33
adultery,dancing,50
adultery,dark comedy,16
adultery,dead body,30
adultery,death,70
adultery,death of father,16
adultery,deception,29
adultery,doctor,48
adultery,dog,41
adultery,drink,33
adultery,drinking,41
adultery,drunkenness,42
adultery,elevator,27
adultery,england,28
adultery,escape,15
adultery,europe,9
adultery,explosion,17
adultery,extramarital affair,109
adultery,f rated,35
adultery,f word,20
adultery,falling from height,13
adultery,family relationships,40
adultery,father daughter relationship,51
adultery,father son relationship,61
adultery,fear,27
adultery,female frontal nudity,42
adultery,female full frontal nudity,45
adultery,female nudity,76
adultery,female protagonist,33
adultery,female rear nudity,43
adultery,female topless nudity,41
adultery,fight,33
adultery,fire,21
adultery,fistfight,6
adultery,flashback,59
adultery,flashlight,16
adultery,food,28
adultery,foot chase,8
adultery,forest,16
adultery,france,26
adultery,friend,39
adultery,friendship,53
adultery,funeral,24
adultery,girl,17
adultery,gore,12
adultery,gun,29
adultery,hallucination,11
adultery,held at gunpoint,11
adultery,helicopter,9
adultery,horse,24
adultery,hospital,27
adultery,hostage,11
adultery,hotel,36
adultery,husband wife relationship,113
adultery,independent film,42
adultery,infidelity,89
adultery,investigation,28
adultery,jealousy,54
adultery,kidnapping,15
adultery,kiss,75
adultery,knife,28
adultery,knocked unconscious,12
adultery,letter,31
adultery,lie,39
adultery,london england,40
adultery,looking at oneself in a mirror,33
adultery,love,42
adultery,machine gun,6
adultery,male female relationship,36
adultery,male frontal nudity,22
adultery,male nudity,53
adultery,male protagonist,13
adultery,male pubic hair,25
adultery,male rear nudity,29
adultery,man wears eyeglasses,22
adultery,marriage,55
adultery,memory,22
adultery,mirror,31
adultery,money,38
adultery,montage,23
adultery,mother daughter relationship,49
adultery,mother son relationship,58
adultery,motorcycle,13
adultery,murder,69
adultery,nightclub,17
adultery,nightmare,8
adultery,no opening credits,16
adultery,nudity,43
adultery,nurse,21
adultery,old man,22
adultery,one word title,30
adultery,paranoia,17
adultery,paris france,27
adultery,party,38
adultery,photograph,58
adultery,photographer,26
adultery,pistol,20
adultery,police,34
adultery,police officer,24
adultery,pregnancy,39
adultery,priest,20
adultery,prison,16
adultery,prologue,21
adultery,prostitute,28
adultery,psychopath,12
adultery,psychotronic film,19
adultery,pubic hair,29
adultery,punched in the face,21
adultery,race against time,9
adultery,rain,38
adultery,rape,27
adultery,rescue,7
adultery,restaurant,46
adultery,revenge,34
adultery,rifle,18
adultery,secret,30
adultery,sequel,2
adultery,sex,51
adultery,sex scene,56
adultery,shooting,19
adultery,shootout,7
adultery,shot in the back,8
adultery,shot in the chest,12
adultery,shot in the head,9
adultery,shot to death,19
adultery,shotgun,11
adultery,shower,16
adultery,singer,40
adultery,singing,48
adultery,slapped in the face,44
adultery,slow motion scene,30
adultery,snow,17
adultery,soldier,12
adultery,song,35
adultery,stabbed to death,13
adultery,stabbing,18
adultery,strangulation,13
adultery,subjective camera,23
adultery,suicide,31
adultery,supernatural power,8
adultery,surprise ending,25
adultery,surrealism,18
adultery,survival,7
adultery,suspense,14
