Source,Target,Weight
Action,Adult,2
Action,Adventure,119
Action,Animation,12
Action,Biography,3
Action,Comedy,76
Action,Crime,89
Action,Drama,105
Action,Family,15
Action,Fantasy,38
Action,History,19
Action,Horror,54
Action,Musical,2
Action,Mystery,32
Action,Romance,24
Action,Sci-Fi,65
Action,Sport,5
Action,Thriller,171
Action,War,39
Action,Western,9
Adult,Drama,3
Adult,History,2
Adult,Horror,2
Adventure,Animation,66
Adventure,Biography,11
Adventure,Comedy,117
Adventure,Crime,25
Adventure,Documentary,3
Adventure,Drama,120
Adventure,Family,114
Adventure,Fantasy,124
Adventure,History,22
Adventure,Horror,35
Adventure,Music,3
Adventure,Musical,27
Adventure,Mystery,30
Adventure,Romance,54
Adventure,Sci-Fi,48
Adventure,Sport,9
Adventure,Thriller,79
Adventure,War,29
Adventure,Western,9
Animation,Biography,1
Animation,Comedy,52
Animation,Crime,1
Animation,Drama,24
Animation,Family,68
Animation,Fantasy,51
Animation,History,4
Animation,Horror,2
Animation,Music,4
Animation,Musical,23
Animation,Mystery,5
Animation,Romance,15
Animation,Sci-Fi,6
Animation,Thriller,4
Animation,War,3
Biography,Comedy,19
Biography,Crime,20
Biography,Documentary,11
Biography,Drama,151
Biography,Fantasy,2
Biography,History,70
Biography,Horror,1
Biography,Music,17
Biography,Musical,2
Biography,Mystery,2
Biography,Romance,34
Biography,Sport,10
Biography,Thriller,26
Biography,War,31
Comedy,Crime,79
Comedy,Documentary,6
Comedy,Drama,221
Comedy,Family,85
Comedy,Fantasy,80
Comedy,History,18
Comedy,Horror,48
Comedy,Music,26
Comedy,Musical,34
Comedy,Mystery,36
Comedy,Romance,158
Comedy,Sci-Fi,28
Comedy,Sport,14
Comedy,Thriller,56
Comedy,War,18
Comedy,Western,5
Crime,Drama,211
Crime,Family,4
Crime,Fantasy,9
Crime,Film-Noir,4
Crime,History,13
Crime,Horror,29
Crime,Music,6
Crime,Musical,3
Crime,Mystery,91
Crime,Romance,37
Crime,Sci-Fi,8
Crime,Sport,2
Crime,Thriller,205
Crime,War,5
Crime,Western,4
Documentary,Drama,11
Documentary,History,13
Documentary,Music,2
Documentary,Musical,2
Documentary,News,2
Documentary,Romance,3
Documentary,Sci-Fi,1
Documentary,Sport,6
Documentary,Thriller,1
Documentary,War,15
Drama,Family,53
Drama,Fantasy,88
Drama,Film-Noir,4
Drama,History,144
Drama,Horror,116
Drama,Music,45
Drama,Musical,25
Drama,Mystery,144
Drama,Romance,322
Drama,Sci-Fi,48
Drama,Sport,27
Drama,Thriller,351
Drama,War,138
Drama,Western,22
Family,Fantasy,96
Family,History,8
Family,Horror,3
Family,Music,7
Family,Musical,30
Family,Mystery,14
Family,Romance,21
Family,Sci-Fi,5
Family,Sport,1
Family,Thriller,4
Family,War,6
Family,Western,1
Fantasy,History,3
Fantasy,Horror,56
Fantasy,Music,4
Fantasy,Musical,30
Fantasy,Mystery,34
Fantasy,Romance,46
Fantasy,Sci-Fi,20
Fantasy,Sport,2
Fantasy,Thriller,37
Fantasy,War,2
Fantasy,Western,2
Film-Noir,Mystery,3
Film-Noir,Thriller,2
History,Horror,4
History,Music,2
History,Mystery,3
History,News,1
History,Romance,31
History,Sci-Fi,1
History,Sport,7
History,Thriller,25
History,War,56
Horror,Music,3
Horror,Musical,5
Horror,Mystery,116
Horror,Romance,18
Horror,Sci-Fi,89
Horror,Thriller,194
Horror,War,3
Horror,Western,2
Music,Musical,9
Music,Mystery,2
Music,Romance,26
Music,Sci-Fi,2
Music,Thriller,4
Music,War,4
Musical,Mystery,4
Musical,Romance,24
Musical,Sci-Fi,1
Musical,Thriller,5
Mystery,Romance,29
Mystery,Sci-Fi,31
Mystery,Thriller,205
Mystery,War,4
Mystery,Western,5
News,Sci-Fi,1
News,War,1
Romance,Sci-Fi,13
Romance,Sport,9
Romance,Thriller,62
Romance,War,26
Romance,Western,7
Sci-Fi,Sport,2
Sci-Fi,Thriller,80
Sci-Fi,War,4
Sport,Thriller,3
Sport,War,5
Thriller,War,36
Thriller,Western,4
War,Western,1
